Symbol,Maximum Close,Minimum Close,Current Close,Max-Min %,Current-Max %,Current-Min %,Date
RELIANCE,2841.85009765625,2201.25,2495.60009765625,22.541656865876565,-13.874418434475205,11.794762227036685,2023-12-15
TCS,3861.0,3089.60009765625,3861.0,19.979277449980575,0.0,19.979277449980575,2023-12-15
HDFCBANK,1728.199951171875,1463.4000244140625,1656.550048828125,15.322296854496168,-4.325248270913185,11.659775963346263,2023-12-15
ICICIBANK,1037.4000244140625,817.2000122070312,1037.4000244140625,21.226142955934783,0.0,21.226142955934783,2023-12-15
HINDUNILVR,2757.10009765625,2406.10009765625,2522.89990234375,12.730767384846759,-9.282976113912813,4.629585366387072,2023-12-15
INFY,1617.0,1223.4000244140625,1578.4000244140625,24.341371402964597,-2.445512860421215,22.49112991060577,2023-12-15
HDFC,2732.0,2732.0,2732.0,0.0,0.0,0.0,2023-12-15
ITC,492.1499938964844,326.70001220703125,458.20001220703125,33.61779614778433,-7.409424003706334,28.699257201368987,2023-12-15
SBIN,648.25,505.3500061035156,648.25,22.04396357832385,0.0,22.04396357832385,2023-12-15
BHARTIARTL,1032.9000244140625,740.0999755859375,992.5499877929688,28.34737553561613,-4.065290123151981,25.434488470286354,2023-12-15
KOTAKBANK,2014.3499755859375,1648.25,1850.5999755859375,18.174596272896707,-8.848481690277415,10.934290406108397,2023-12-15
BAJFINANCE,8168.5498046875,5534.4501953125,7515.0498046875,32.2468451849731,-8.695883819590662,26.355109558150957,2023-12-15
LICI,815.25,531.8499755859375,796.1500244140625,34.76234583429163,-2.3990422659340354,33.19726693755241,2023-12-15
LT,3488.0,2062.75,3488.0,40.861525229357795,0.0,40.861525229357795,2023-12-15
HCLTECH,1491.300048828125,1029.6500244140625,1491.300048828125,30.956213323859988,0.0,30.956213323859988,2023-12-15
ASIANPAINT,3543.699951171875,2705.64990234375,3313.89990234375,23.6490126245307,-6.934429391352445,18.354507315378363,2023-12-15
AXISBANK,1132.449951171875,824.0499877929688,1120.3499755859375,27.23298835942106,-1.0800174811097998,26.44709191322161,2023-12-15
MARUTI,10788.4501953125,8141.60009765625,10286.400390625,24.534108697153613,-4.880714201491388,20.850834223053536,2023-12-15
SUNPHARMA,1241.4000244140625,925.8499755859375,1235.75,25.418885340933016,-0.4572141949474004,25.077889897961764,2023-12-15
TITAN,3634.64990234375,2308.10009765625,3600.550048828125,36.497319971095266,-0.9470734485894319,35.8959029493988,2023-12-15
DMART,4182.0,3306.800048828125,4045.64990234375,20.92778458086741,-3.370289099342453,18.262822323987802,2023-12-15
ULTRACEMCO,10029.4501953125,6705.10009765625,10029.4501953125,33.14588569580776,0.0,33.14588569580776,2023-12-15
BAJAJFINSV,1733.1500244140625,1223.1500244140625,1733.1500244140625,29.426188893971776,0.0,29.426188893971776,2023-12-15
WIPRO,446.54998779296875,356.20001220703125,446.54998779296875,20.232891737940413,0.0,20.232891737940413,2023-12-15
ADANIENT,4165.2998046875,1193.5,2991.800048828125,71.346600341784,-39.22386980102596,60.10762816627773,2023-12-15
ONGC,202.0500030517578,139.8000030517578,201.0500030517578,30.809205176826364,-0.49738870172638716,30.465057980741218,2023-12-15
NTPC,305.1000061035156,163.0,305.1000061035156,46.574894546315846,0.0,46.574894546315846,2023-12-15
JSWSTEEL,867.2000122070312,657.7999877929688,867.2000122070312,24.14668144216669,0.0,24.14668144216669,2023-12-15
POWERGRID,237.35000610351562,156.0749969482422,237.35000610351562,34.24268256383651,0.0,34.24268256383651,2023-12-15
M&M,1724.949951171875,1128.300048828125,1724.949951171875,34.58940370637452,0.0,34.58940370637452,2023-12-15
LTIM,6129.2998046875,4152.85009765625,6129.2998046875,32.24592971483826,0.0,32.24592971483826,2023-12-15
TATAMOTORS,732.4000244140625,378.3500061035156,732.4000244140625,48.3410713419617,0.0,48.3410713419617,2023-12-15
ADANIGREEN,2166.14990234375,462.20001220703125,1526.6500244140625,78.66260263396656,-41.889094926987696,69.72455999636024,2023-12-15
ADANIPORTS,1078.550048828125,462.45001220703125,1078.550048828125,57.122990007789056,0.0,57.122990007789056,2023-12-15
COALINDIA,355.54998779296875,208.39999389648438,350.0,41.386583869654785,-1.5857107979910714,40.457144601004465,2023-12-15
TATASTEEL,136.4499969482422,102.0999984741211,136.4499969482422,25.17405587568509,0.0,25.17405587568509,2023-12-15
HINDZINC,377.54998779296875,292.5,316.3500061035156,22.52681513516729,-19.34565528961215,7.539119849332786,2023-12-15
PIDILITIND,2697.699951171875,2268.14990234375,2651.050048828125,15.922825243835192,-1.7596764106498557,14.443339032910105,2023-12-15
SIEMENS,3983.0,2787.199951171875,3907.300048828125,30.022597259054105,-1.937397953212702,28.66685649063961,2023-12-15
SBILIFE,1481.449951171875,1062.6500244140625,1452.5,28.269596716819773,-1.9931119567555937,26.839929472353703,2023-12-15
IOC,123.80000305175781,73.0,123.80000305175781,41.0339271401468,0.0,41.0339271401468,2023-12-15
BAJAJ-AUTO,6334.85009765625,3538.050048828125,6275.2001953125,44.14942746416173,-0.9505657267844263,43.618531063423184,2023-12-15
GRASIM,2127.699951171875,1550.5999755859375,2127.699951171875,27.12318413449639,0.0,27.12318413449639,2023-12-15
TECHM,1306.0999755859375,986.1500244140625,1306.0999755859375,24.4965896296216,0.0,24.4965896296216,2023-12-15
HDFCLIFE,707.3499755859375,461.3999938964844,673.0999755859375,34.770621358362106,-5.088397153808418,31.45149151211409,2023-12-15
BRITANNIA,5173.5498046875,4199.9501953125,4913.89990234375,18.81879263040764,-5.283988430857261,14.529187024968135,2023-12-15
